FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc
2135,2472,0,522, ,10147,4127,0.0000000
2136,2411,0,839, ,10122,3993,24.0571995
2137,2474,0,39636, ,20242,4717,28.2094002
2138,2452,0,556, ,10072,3752,30.8633003
2139,2489,0,1887, ,10262,4821,25.9862003
2140,2439,0,173053, ,31894,1155,28.4624004
2141,2475,0,514, ,31868,1135,30.0583992
2142,2493,0,2860, ,20009,3647,32.6209984
2143,2479,0,17650, ,20262,4770,29.3707008
2144,2351,2888,663200, ,0,0,23.1130009
2145,2496,0,2446, ,32912,2202,28.2110004
2146,2480,0,11542, ,10244,4690,23.3544006
2147,2498,0,362, ,10037,3681,22.0000000
2148,2322,0,16232, ,10127,3958,22.4004993
2149,2456,0,2062, ,10412,5440,22.4563999
2150,2382,0,6120, ,10079,3782,23.6075001
2151,2501,0,608, ,10240,4732,26.0000000
2152,2512,2981,1699, ,10071,3760,32.3642998
2153,2471,0,544, ,32414,1549,29.0000000
2154,2506,2980,376, ,32298,1492,37.0000000
2155,2507,0,3033, ,20088,4075,34.5419998
2156,2508,0,1198, ,32597,1810,27.9766006
2157,2500,0,18340, ,20108,4143,22.3526001
2158,2514,0,544, ,10072,3752,12.0000000
2159,2499,2982,462, ,10339,5063,29.0000000
2160,2502,2970,2139, ,10412,5440,33.0784988
2161,2444,2969,2672, ,10374,5121,28.9731007
2162,2454,0,581, ,10072,3752,0.0000000
2163,2516,0,415, ,10094,3781,0.0000000
2164,2517,0,18349, ,20108,4143,31.8435993
2165,2518,0,4246, ,10049,3446,25.9018002
2166,2519,2986,921, ,10150,4033,39.0000000
2167,2464,0,9267, ,10379,5152,34.8574982
2168,2399,0,1126, ,10050,3698,35.0000000
2169,2526,0,6501, ,10204,4498,44.3974991
2170,2527,0,375, ,0,0,0.0000000
2171,2529,9999,357, ,32298,1492,0.9971990
2172,2554,9999,6315, ,10079,3782,26.0690002
2173,2481,0,613507, ,0,0,17.5156994
2174,2532,0,5058, ,10078,3617,18.2628002
2175,2448,0,1071, ,32695,1890,4.0037398
2176,2535,0,8178, ,10090,3714,20.3719006
2177,2395,0,1769, ,32256,1418,36.6647987
2178,2412,0,2442, ,32506,1620,6.0000000
2179,2541,0,1961, ,10114,3957,38.0194016
2180,2524,0,423, ,10094,3781,7.0331001
2181,2484,0,1094, ,10050,3698,31.9706993
2182,2486,0,845, ,10122,3993,7.9526601
2183,2413,0,24966, ,20118,4242,12.9476004
2184,2534,0,45694, ,10271,4634,12.4362001
2185,2538,0,759, ,10163,4168,23.0303001
