OID_,ppt_ID,shed,scen,treatment,delta
,6328, ,1,50,1.81453
,6342, ,1,50,1.72098
,6427, ,1,50,0.41945
,6471, ,1,50,1.6849999
,6535, ,1,50,0.417403
,6583, ,1,50,0.415959
,6634, ,1,50,1.60694
,6651, ,1,50,1.59373
,6688, ,1,50,1.58082
,6699, ,1,50,0.413942
,6756, ,1,50,1.5695699
,6808, ,1,50,0.411565
,6809, ,1,50,0.409205
,6822, ,1,50,1.55599
,6829, ,1,50,0.413391
,6910, ,1,50,0.407106
,6912, ,1,50,0.408378
,6926, ,1,50,1.41371
,6964, ,1,50,0.378341
,6983, ,1,50,1.4036601
,7013, ,1,50,0.377226
,7035, ,1,50,1.02881
,7043, ,1,50,0.376125
,7070, ,1,50,1.01307
,7146, ,1,50,0.375405
,7159, ,1,50,1.00262
,7170, ,1,50,0.374384
,7251, ,1,50,0.999985
,7263, ,1,50,0.373386
,7292, ,1,50,0.974958
,7333, ,1,50,0.371197
,7355, ,1,50,0.965268
,7384, ,1,50,0.366439
,7437, ,1,50,0.902141
,7445, ,1,50,0.364083
,7480, ,1,50,0.897867
,7569, ,1,50,0.892815
,7602, ,1,50,0.88688
,7605, ,1,50,0.362569
,7629, ,1,50,0.274731
,7630, ,1,50,0.252917
,7652, ,1,50,0.857509
,7657, ,1,50,0.275071
,7668, ,1,50,0.850366
,7684, ,1,50,0.360741
,7685, ,1,50,0.276158
,7711, ,1,50,0.252674
,7712, ,1,50,0.252168
,7714, ,1,50,0.846704
,7741, ,1,50,0.842361
,7749, ,1,50,0.251385
,7940, ,1,50,0.250508
,7950, ,1,50,0.247038
,8049, ,1,50,0.21808
,8136, ,1,50,0.217432
,8139, ,1,50,0.217691
,8175, ,1,50,0.215954
,8194, ,1,50,0.213848
,8272, ,1,50,0.213531
,8273, ,1,50,0.213112
,8280, ,1,50,0.212806
,8353, ,1,50,0.211878
,8396, ,1,50,0.196394
,8399, ,1,50,0.210069
,8415, ,1,50,0.194391
,8584, ,1,50,0.19411
,8599, ,1,50,0.193651
,8608, ,1,50,0.193252
,8701, ,1,50,0.192864
,8813, ,1,50,0.192123
,8845, ,1,50,0.191885
,8852, ,1,50,0.191335
,8873, ,1,50,0.190409
,8953, ,1,50,0.190182
,8991, ,1,50,0.189898
,9013, ,1,50,0.189475
,43, ,1,30,0
,61, ,1,30,0
,62, ,1,30,0
,74, ,1,30,0
